Q#,Category,Question,Answer,,,,,,,,,,,,,,,,,,,,,,
1,Ordering,How do I place an order?,"Simply select your item, choose the size/color, click ""Add to Cart,"" and proceed to checkout to enter your details.",,,,,,,,,,,,,,,,,,,,,,
2,Ordering,Can I modify or cancel my order?,You can cancel within 1 hour of placing the order by contacting customer support. Modifications are generally not possible once the order is confirmed.,,,,,,,,,,,,,,,,,,,,,,
3,Ordering,What should I do if a favorite item is sold out?,"Click the ""Notify Me"" button on the product page to receive an email alert as soon as it's restocked.",,,,,,,,,,,,,,,,,,,,,,
4,Ordering,Is a pre-order guaranteed?,"Pre-orders guarantee your item upon availability; however, the estimated delivery date is subject to change.",,,,,,,,,,,,,,,,,,,,,,
5,Ordering,How do I apply a discount code?,"Enter the code in the designated ""Discount Code"" box on the checkout page and click ""Apply.""",,,,,,,,,,,,,,,,,,,,,,
6,Account,Do I need an account to checkout?,"No, you can check out as a guest, but an account allows you to save your address and track orders easily.",,,,,,,,,,,,,,,,,,,,,,
7,Account,How do I update my shipping address?,"You can update it in your ""My Account"" section, or during the checkout process for your current order.",,,,,,,,,,,,,,,,,,,,,,
8,Availability,How often do you restock items?,Restocks vary by popularity and supplier availability; high-demand items are often restocked within 2-4 weeks.,,,,,,,,,,,,,,,,,,,,,,
9,Availability,"Do your ""Final Sale"" items ever return to stock?","No, ""Final Sale"" items are typically clearance and will not be restocked.",,,,,,,,,,,,,,,,,,,,,,
10,Payment,What payment methods are accepted?,"We accept all major credit cards (Visa, MasterCard, Amex), PayPal, and Buy Now, Pay Later options (e.g., Klarna, Afterpay).",,,,,,,,,,,,,,,,,,,,,,
11,Payment,When is my credit card charged?,Your card is charged immediately upon order confirmation and processing.,,,,,,,,,,,,,,,,,,,,,,
12,Payment,Why was my payment declined?,This could be due to incorrect card details or insufficient funds. Please check your card information or contact your bank.,,,,,,,,,,,,,,,,,,,,,,
13,Confirmation,When will I receive my order confirmation?,You should receive it via email within a few minutes of placing your order. Check your spam folder if you don't see it.,,,,,,,,,,,,,,,,,,,,,,
14,Pricing,Do you offer price adjustments?,We offer a one-time price adjustment for items purchased at full price that go on sale within 7 days of the purchase date.,,,,,,,,,,,,,,,,,,,,,,
15,Pricing,Will I be charged sales tax?,Sales tax is applied according to the tax laws of your shipping destination and will be displayed at checkout.,,,,,,,,,,,,,,,,,,,,,,
